period,project_cash_flow
2024-01,-8226560.0
2024-02,26879.999999999993
2024-03,40319.99999999999
2024-04,53760.0
2024-05,67200.0
2024-06,80640.00000000001
2024-07,94080.00000000006
2024-08,107520.0
2024-09,120960.0
2024-10,134400.0
2024-11,147840.0
2024-12,161280.00000000006
2025-01,161280.0
2025-02,170736.0
2025-03,180192.0
2025-04,176208.0
2025-05,174588.0
2025-06,172968.0
2025-07,171348.0
2025-08,169728.0
2025-09,168108.0
2025-10,166488.0
2025-11,168808.0
2025-12,171128.0
2026-01,173448.0
2026-02,166312.0
2026-03,170208.0
2026-04,189120.0
2026-05,186756.0
2026-06,186756.0
2026-07,186756.0
2026-08,186756.0
2026-09,186756.0
2026-10,186756.0
2026-11,182816.0
2026-12,182816.0
2027-01,182816.0
2027-02,182816.0
2027-03,171784.0
2027-04,170208.0
2027-05,189120.0
2027-06,186756.0
2027-07,186756.0
2027-08,186756.0
2027-09,186756.0
2027-10,186756.0
2027-11,186756.0
2027-12,182816.0
2028-01,182816.0
2028-02,182816.0
2028-03,182816.0
2028-04,171784.0
2028-05,170208.0
2028-06,189120.0
2028-07,186756.0
2028-08,186756.0
2028-09,186756.0
2028-10,186756.0
2028-11,186756.0
2028-12,186756.0
2029-01,41723106.74
2029-02,182816.0
2029-03,182816.0
2029-04,182816.0
2029-05,171784.0
2029-06,170208.0
2029-07,189120.0
2029-08,186756.0
2029-09,186756.0
2029-10,186756.0
2029-11,186756.0
2029-12,186756.0
2030-01,186756.0
2030-02,182816.0
2030-03,182816.0
2030-04,182816.0
2030-05,182816.0
2030-06,171784.0
2030-07,170208.0
2030-08,189120.0
2030-09,186756.0
2030-10,186756.0
2030-11,186756.0
2030-12,186756.0
