period,equity_contributions
2024-01,3196180.1810285076
2024-02,10500.0
2024-03,10500.0
2024-04,10500.0
2024-05,10500.0
2024-06,10500.0
2024-07,10500.0
2024-08,10500.0
2024-09,10500.0
2024-10,10500.0
2024-11,10500.0
2024-12,10500.0
2025-01,10500.0
2025-02,10500.0
2025-03,10500.0
2025-04,10500.0
2025-05,10500.0
2025-06,10500.0
2025-07,10500.0
2025-08,10500.0
2025-09,10500.0
2025-10,10500.0
2025-11,10500.0
2025-12,10500.0
2026-01,10500.0
2026-02,10500.0
2026-03,10500.0
2026-04,10500.0
2026-05,10500.0
2026-06,10500.0
2026-07,10500.0
2026-08,10500.0
2026-09,10500.0
2026-10,10500.0
2026-11,10500.0
2026-12,10500.0
2027-01,10500.0
2027-02,10500.0
2027-03,10500.0
2027-04,10500.0
2027-05,10500.0
2027-06,10500.0
2027-07,10500.0
2027-08,10500.0
2027-09,10500.0
2027-10,10500.0
2027-11,10500.0
2027-12,10500.0
2028-01,10500.0
2028-02,10500.0
2028-03,10500.0
2028-04,10500.0
2028-05,10500.0
2028-06,10500.0
2028-07,10500.0
2028-08,10500.0
2028-09,10500.0
2028-10,10500.0
2028-11,10500.0
2028-12,10500.0
