,2024,2025,2026,2027,2028,2029,2030,Total
Lease,$1.3M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$10.0M
Sale,$0,$0,$0,$0,$0,$0,$15.6M,$15.6M
  Revenue Subtotal,$1.3M,$1.5M,$1.5M,$1.5M,$1.5M,$1.5M,$17.1M,$25.6M
OpEx,"$-351,383","$-367,674","$-375,812","$-384,205","$-392,863","$-401,794","$-411,007",$-2.7M
Closing Costs,"$-230,000",$0,$0,$0,$0,$0,$0,"$-230,000"
Hard Costs,$0,"$-480,000","$-480,000","$-40,000",$0,$0,$0,$-1.0M
Purchase Price,$-11.5M,$0,$0,$0,$0,$0,$0,$-11.5M
Soft Costs,"$-605,073",$0,$0,$0,$0,$0,$0,"$-605,073"
Transaction Costs,$0,$0,$0,$0,$0,$0,"$-468,447","$-468,447"
  Capital Subtotal,$-12.3M,"$-480,000","$-480,000","$-40,000",$0,$0,"$-468,447",$-13.8M
Equity Contribution,$5.7M,$0,$0,$0,$0,$0,$0,$5.7M
Equity Distribution,$-1.6M,$-2.0M,$-2.1M,$-1.6M,$-1.6M,$-1.6M,$-16.7M,$-27.3M
Interest Payment,"$-554,169","$-751,120","$-947,723","$-424,557","$-417,278","$-409,589","$-401,466",$-3.9M
Loan Proceeds,$8.9M,$0,$0,$0,$0,$0,$0,$8.9M
Principal Payment,"$-109,451","$-115,625","$-122,147","$-129,037","$-136,316","$-144,005","$-152,128","$-908,709"
Refinancing Payoff,$0,$0,$-8.1M,$0,$0,$0,$0,$-8.1M
Refinancing Proceeds,$0,$0,$8.1M,$0,$0,$0,$0,$8.1M
  Financing Subtotal,$12.3M,$-2.8M,$-3.2M,$-2.2M,$-2.2M,$-2.2M,$-17.3M,$-17.5M
Asset Valuation,$157.8M,$196.5M,$201.3M,$199.8M,$198.2M,$196.6M,$210.5M,$1360.6M
